2025-06-20 14:38:46 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %26
2025-06-20 14:51:04 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:51:14 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:51:25 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:51:35 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %26
2025-06-20 14:51:45 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:51:56 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:52:06 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:52:17 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:52:27 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:52:37 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:52:48 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:52:58 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:53:08 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:53:19 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:53:29 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:53:41 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:53:51 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:54:02 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:54:12 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:54:22 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %22
2025-06-20 14:54:33 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:54:43 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:54:54 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:55:04 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:55:14 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:55:25 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:55:35 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %26
2025-06-20 14:55:45 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:55:56 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:56:06 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:56:17 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:56:27 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:56:37 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:56:48 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:56:58 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:57:09 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 14:57:19 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:57:29 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:57:40 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:57:50 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 14:58:01 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %29
2025-06-20 14:58:11 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %28
2025-06-20 14:58:21 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %27
2025-06-20 14:58:32 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %26
2025-06-20 14:58:42 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:58:53 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:59:03 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:59:13 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:59:24 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:59:34 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:59:45 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 14:59:55 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:00:06 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %26
2025-06-20 15:00:16 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:00:26 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:00:37 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:00:47 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:00:57 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:01:08 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:01:19 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:01:29 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:01:39 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:01:50 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:02:00 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:02:10 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:02:21 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:02:31 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:02:41 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %25
2025-06-20 15:02:52 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:03:02 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:03:13 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:03:23 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:03:33 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:03:44 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:03:54 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:04:04 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:04:15 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:04:25 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:04:35 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:04:46 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:04:56 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:05:07 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:05:17 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:05:27 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:05:38 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:05:48 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:05:58 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:06:09 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %24
2025-06-20 15:06:19 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 15:06:33 - Oda no: 1, Termometre no: 1, Sıcaklık: 24.0 derece, Nem: %23
2025-06-20 15:06:43 - Oda no: 1, Termometre no: 1, Sıcaklık: 25.0 derece, Nem: %23
2025-06-20 15:06:53 - Oda no: 1, Termometre no: 1, Sıcaklık: 24.0 derece, Nem: %23
2025-06-20 15:07:04 - Oda no: 1, Termometre no: 1, Sıcaklık: 24.0 derece, Nem: %23
